,activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_lap_time,lap_count,pace
0,10343078755,Morning Run,2023-12-07,Run,3.01,21.43,228.0,32.0,30.400434834882617, -97.68411417491734,30.401210244745016, -97.68475388176739,8.3268,14.3208,23,131.2,152.0,5.25,4,7.07
1,10322687345,Morning Run,2023-12-03,Run,21.02,123.16,1698.0,89.0,29.42491273395717, -98.49457967095077,29.421691903844476, -98.49987577646971,10.231200000000001,26.2836,18,171.9,193.0,5.61,21,5.52
2,10309277702,Evening Run,2023-12-01,Run,2.02,15.28,153.0,12.0,27.478308510035276, -99.48788749985397,27.47903681360185, -99.48860440403223,7.8264,11.4732,25,133.5,148.0,7.4,2,7.34
3,10298502876,Evening Run,2023-11-29,Run,4.01,25.0,322.0,13.0,,,,,9.633600000000001,26.3232,20,152.6,170.0,4.83,5,6.14
4,10292826019,Evening Run,2023-11-28,Run,6.01,44.09,475.0,13.0,,,,,8.1684,16.1136,18,146.4,167.0,7.14,6,7.2
5,10257445914,Morning Run,2023-11-21,Run,4.86,31.57,393.0,40.0,30.401161713525653, -97.68484256230295,30.401187110692263, -97.68477676436305,9.1188,16.3152,22,146.3,169.0,6.15,5,6.3
6,10251037068,Morning Run,2023-11-20,Run,6.01,46.05,458.0,37.0,30.401362124830484, -97.68470694310963,30.401071440428495, -97.68476494587958,7.829999999999999,13.3452,28,139.5,159.0,6.35,7,7.4
7,10233971826,Morning Run,2023-11-17,Run,4.01,25.18,337.0,7.0,,,,,9.504000000000001,22.7664,20,150.6,163.0,6.2,4,6.17
8,10230744464,Afternoon Run,2023-11-16,Run,6.0,43.18,461.0,43.0,30.40105945430696, -97.68461658619344,30.401184344664216, -97.6845237147063,8.316,21.096,23,142.9,164.0,7.06,6,7.12
9,10220071235,Evening Run,2023-11-15,Run,3.23,20.25,260.0,11.0,31.45808751694858, -100.43619582429528,31.458123726770282, -100.43555938638747,9.4932,17.8776,21,148.8,158.0,4.96,4,6.16
10,10212537905,Lunch Run,2023-11-13,Run,4.13,25.08,328.0,34.0,30.400518151000142, -97.68431249074638,30.40071940049529, -97.68448658287525,9.853200000000001,15.285600000000002,22,150.7,175.0,4.85,5,6.04
11,10194730740,Morning Run,2023-11-10,Run,5.14,33.35,440.0,58.0,30.395537121221423, -97.68257182091475,30.400650165975094, -97.68422263674438,9.1836,15.659999999999998,18,157.8,177.0,5.36,6,6.29
12,10180090228,Evening Run,2023-11-08,Run,3.67,21.55,297.0,1.0,27.46770196594298, -99.50643774122,27.46773079968989, -99.5060643274337,10.0548,16.768800000000002,28,159.5,174.0,5.28,4,5.52
13,10058636758,Evening Run,2023-10-18,Run,5.0,30.19,404.0,10.0,,,,,9.9,16.0272,25,155.1,167.0,5.87,5,6.02
14,10052377395,Evening Run,2023-10-17,Run,5.0,29.28,392.0,6.0,,,,,10.1844,24.5484,24,155.3,174.0,5.69,5,5.51
15,10016212281,Evening Run,2023-10-11,Run,5.02,33.03,400.0,1.0,31.455742763355374, -100.4917808342725,31.46797774359584, -100.48615121282637,9.1188,20.8872,26,143.7,160.0,5.3,6,6.35
16,9995563010,Good Long Run,2023-10-07,Run,15.94,93.48,1271.0,102.0,30.24540726095438, -97.71552493795753,30.245512202382088, -97.71574521437287,10.1988,18.856800000000003,26,159.2,179.0,5.66,16,5.52
17,9957998721,Afternoon Run,2023-10-01,Run,5.01,28.06,399.0,43.0,30.400932300835848, -97.68393027596176,30.401212591677904, -97.68722402863204,10.7028,16.362000000000002,33,161.7,185.0,4.54,6,5.36
18,9939802653,Afternoon Run,2023-09-28,Run,6.0,35.15,477.0,42.0,30.400892570614815, -97.68466645851731,30.401184177026153, -97.68474499695003,10.206,18.950400000000002,34,156.9,175.0,5.65,6,5.52
19,9850629317,Speed workout,2023-09-14,Run,5.01,28.25,398.0,36.0,30.400897935032845, -97.68394477665424,30.40127486921847, -97.68695404753089,10.584,14.601600000000001,30,160.1,176.0,4.5,6,5.38
